類別,項目代碼,項目名稱,價格/點數,原價,說明,備註

=== 訂閱方案（會員等級）===,,,,,,
訂閱方案,free,免費方案,NT$ 0/月,,免費試用版，基本功能,註冊送200活動點數，推薦再送200點
訂閱方案,basic,入門方案,NT$ 299/月,,一般用戶，基本功能,每月發放300點月費點數
訂閱方案,pro,標準方案,NT$ 699/月,,訂閱用戶，進階功能,每月發放800點月費點數，Veo 3 解鎖
訂閱方案,enterprise,企業方案,NT$ 3699/月,,團隊用戶，完整功能,每月發放5000點月費點數，專屬客服

=== 點數購買方案（一次性）===,,,,,,
點數購買,starter,點數包 100,NT$ 99,,"100點，無加贈",單價 NT$ 0.99/點
點數購買,basic,點數包 330,NT$ 249,NT$ 299,"300點 + 加贈30點",單價 NT$ 0.75/點
點數購買,standard,點數包 700,NT$ 449,NT$ 549,"600點 + 加贈100點",單價 NT$ 0.64/點（最熱門）
點數購買,pro,點數包 1800,NT$ 999,NT$ 1299,"1500點 + 加贈300點",單價 NT$ 0.56/點
點數購買,enterprise,點數包 6500,NT$ 2999,NT$ 4499,"5000點 + 加贈1500點",單價 NT$ 0.46/點

=== 社群圖文消耗 ===,,,,,,
功能消耗,social_image_basic,社群圖文（基本）,5 點,,基本社群圖文生成,
功能消耗,social_image_premium,社群圖文（進階）,10 點,,進階社群圖文生成，含高品質圖片,

=== 部落格文章消耗 ===,,,,,,
功能消耗,blog_post_basic,部落格文章（基本）,10 點,,基本部落格文章生成,
功能消耗,blog_post_premium,部落格文章（進階）,20 點,,進階部落格文章生成，含 SEO 優化,

=== 短影片腳本生成 ===,,,,,,
功能消耗,script_15s,腳本生成（15秒）,20 點,,AI 導演生成 15 秒影片腳本,
功能消耗,script_30s,腳本生成（30秒）,30 點,,AI 導演生成 30 秒影片腳本,
功能消耗,script_60s,腳本生成（60秒）,50 點,,AI 導演生成 60 秒影片腳本,

=== 影片渲染消耗 ===,,,,,,
功能消耗,render_standard_15s,標準渲染（15秒）,50 點,,Imagen 圖片合成影片（15秒）,
功能消耗,render_standard_30s,標準渲染（30秒）,80 點,,Imagen 圖片合成影片（30秒）,
功能消耗,render_standard_60s,標準渲染（60秒）,120 點,,Imagen 圖片合成影片（60秒）,
功能消耗,render_veo_fast,Veo 3 Fast（8秒）,200 點,,快速 Veo 等級影片（8秒）,需 pro 以上方案
功能消耗,render_veo_ultra,Veo 3 Ultra（8秒）,350 點,,Ultra Veo 等級影片（8秒）,需 pro 以上方案

=== 短影片完整成本範例 ===,,,,,,
成本範例,video_15s_standard,15秒標準影片,70 點,,"腳本20點 + 渲染50點",
成本範例,video_30s_standard,30秒標準影片,110 點,,"腳本30點 + 渲染80點",
成本範例,video_60s_standard,60秒標準影片,170 點,,"腳本50點 + 渲染120點",
成本範例,video_veo_fast,15秒腳本 + Veo 3 Fast,220 點,,"腳本20點 + Veo Fast 200點",
成本範例,video_veo_ultra,15秒腳本 + Veo 3 Ultra,370 點,,"腳本20點 + Veo Ultra 350點",

=== 點數類別 ===,,,,,,
點數類別,PROMO,優惠點數,,,"新手任務、行銷活動、補償","有效期7-30天，第1順位消耗，不可退款"
點數類別,SUB,月費點數,,,"訂閱方案每月發放","當月有效，第2順位消耗，月底歸零"
點數類別,PAID,購買點數,,,"刷卡儲值","永久有效，第3順位消耗，可申請退款"
點數類別,BONUS,獎金點數,,,"推薦好友分潤","永久有效，第4順位消耗，可提領現金"

=== 獎金提領規則 ===,,,,,,
提領規則,exchange_rate,匯率,10點 = NT$ 1,,,
提領規則,min_credits,最低門檻,3000點,,"等值 NT$ 300",
提領規則,max_per_request,單次上限,100000點,,"等值 NT$ 10000",
提領規則,max_per_month,每月上限,300000點,,"等值 NT$ 30000",
提領規則,processing_time,處理時間,3-5 個工作天,,,
